site1,site2,comm_sim,site_dis,group
T37,T19,0.223766518,1516537.806,T
T37,T20,0.426597076,1676652.11,T
T37,T21,0.224098835,1700670.287,T
T37,T22,0.157655016,840660.1311,T
T37,T23,0.2119204,996813.0923,T
T37,T24,0.16142779,1149483.812,T
T37,T25,0.092403628,1262927.47,T
T37,T26,0.216220971,1238104.939,T
T37,T27,0.121061068,1333152.006,T
T37,T28,0.198354054,740222.414,T
T37,T29,0.154625068,892149.2823,T
T37,T30,0.298576902,1110232.111,T
T37,T31,0.473004144,370866.4861,T
T37,T32,0.30340527,268728.1626,T
T37,T33,0.322972867,279843.115,T
T37,T34,0.364844788,239331.9738,T
T37,T35,0.396004379,168421.7015,T
T37,T36,0.435413246,115696.463,T
T38,T01,0.209496442,310266.7309,T
T38,T02,0.365001173,324758.9445,T
T38,T04,0.177046681,300409.8331,T
T38,T05,0.1783564,294883.2,T
T38,T06,0.29208695,161863.9547,T
T38,T07,0.277406365,261950.8041,T
T38,T08,0.383239503,201911.2205,T
T38,T09,0.321389475,292035.9344,T
T38,T10,0.316443819,453727.8716,T
T38,T11,0.313941669,378217.4819,T
T38,T12,0.24288451,575161.8868,T
T38,T13,0.243060443,698529.6041,T
T38,T15,0.120103214,770954.365,T
T38,T18,0.121412933,1373986.982,T
T38,T19,0.185002737,1540912.631,T
T38,T20,0.381792947,1698215.967,T
T38,T21,0.19839315,1727108.836,T
T38,T22,0.192450543,795437.2416,T
T38,T23,0.242102588,949521.8385,T
T38,T24,0.196770662,1103248.474,T
T38,T25,0.113495973,1214139.473,T
T38,T26,0.168895144,1184231.874,T
T38,T27,0.141136915,1276341.94,T
T38,T28,0.231722574,680679.2553,T
T38,T29,0.19037845,833192.7249,T
T38,T30,0.253616389,1059191.71,T
T38,T31,0.482406756,368936.3123,T
T38,T32,0.380326843,275680.9837,T
T38,T33,0.3947924,270422.6115,T
T38,T34,0.449468293,218332.3479,T
T38,T35,0.501309719,153417.7916,T
T38,T36,0.535499257,106140.6271,T
T38,T37,0.472202674,62511.51413,T
T39,T01,0.168504183,325121.3036,T
T39,T02,0.344710298,337312.835,T
T39,T04,0.132653061,309370.1099,T
T39,T05,0.134001877,301763.7423,T
T39,T06,0.228888107,167633.4327,T
T39,T07,0.24509344,259492.8387,T
T39,T08,0.375772148,195626.2621,T
T39,T09,0.290405817,279285.0045,T
T39,T10,0.286027054,442871.1875,T
T39,T11,0.284052702,370705.2082,T
T39,T12,0.182481038,571297.0978,T
T39,T13,0.189987489,691296.9119,T
T39,T15,0.083861131,770539.5128,T
T39,T18,0.089764641,1375343.746,T
T39,T19,0.13126515,1543939.717,T
T39,T20,0.328602705,1700469.939,T
T39,T21,0.139358042,1730643.017,T
T39,T22,0.172355149,787342.9414,T
T39,T23,0.217061537,940688.6712,T
T39,T24,0.168113222,1094702.676,T
T39,T25,0.090429275,1204742.997,T
T39,T26,0.145984831,1173115.592,T
T39,T27,0.120025022,1264133.525,T
T39,T28,0.221381656,667434.9353,T
T39,T29,0.176831652,820177.1668,T
T39,T30,0.198529987,1049082.815,T
T39,T31,0.50140746,373586.16,T
T39,T32,0.450680272,282870.6444,T
T39,T33,0.450347955,273812.6158,T
T39,T34,0.51282352,219171.4493,T
T39,T35,0.547677692,156974.1379,T
T39,T36,0.533700837,112643.4049,T
T39,T37,0.42444679,77795.9837,T
T39,T38,0.564234889,15610.27687,T
T40,T01,0.217041989,355162.9164,T
T40,T02,0.391410587,351734.8795,T
T40,T04,0.174134021,307046.7283,T
T40,T05,0.183888498,291121.5584,T
T40,T06,0.290327625,157943.4778,T
T40,T07,0.298088201,219074.6006,T
T40,T08,0.426812104,146981.2143,T
T40,T09,0.333685198,224406.866,T
T40,T10,0.34619595,387462.4603,T
T40,T11,0.332023614,318576.0798,T
T40,T12,0.238251622,525429.4166,T
T40,T13,0.241731175,639153.794,T
T40,T15,0.117112362,732556.76,T
T40,T18,0.12434514,1341522.421,T
T40,T19,0.18246149,1514994.919,T
T40,T20,0.39498788,1669076.474,T
T40,T21,0.192958793,1703188.687,T
T40,T22,0.204648526,801656.0965,T
T40,T23,0.240362812,951593.8014,T
T40,T24,0.203397451,1106536.823,T
T40,T25,0.118832591,1212789.892,T
T40,T26,0.179646571,1173080.687,T
T40,T27,0.145437485,1258110.411,T
T40,T28,0.242532645,656288.7471,T
T40,T29,0.212057237,810043.7832,T
T40,T30,0.235182579,1054133.78,T
T40,T31,0.445871452,423478.2599,T
T40,T32,0.422980687,336230.8269,T
T40,T33,0.414887794,322173.7828,T
T40,T34,0.45230276,263515.3691,T
T40,T35,0.477304715,206796.59,T
T40,T36,0.476503245,166313.2874,T
T40,T37,0.407870045,119054.4682,T
T40,T38,0.545781531,67629.84929,T
T40,T39,0.537024005,55489.21812,T
T41,T01,0.203162874,401931.2907,T
T41,T02,0.387266401,388876.8141,T
T41,T04,0.171025882,332230.2788,T
T41,T05,0.162815701,309381.65,T
T41,T06,0.310207991,183920.8747,T
T41,T07,0.31994292,205329.6109,T
T41,T08,0.406736258,123070.5645,T
T41,T09,0.36482524,171216.4416,T
T41,T10,0.350476972,338272.4114,T
T41,T11,0.346567363,280499.5662,T
T41,T12,0.245660333,497240.9181,T
T41,T13,0.244819767,599228.5226,T
T41,T15,0.095980921,714576.2375,T
T41,T18,0.097759794,1327265.476,T
T41,T19,0.165923841,1506270.976,T
T41,T20,0.391645164,1657337.646,T
T41,T21,0.174720463,1695959.877,T
T41,T22,0.164809602,800180.0014,T
T41,T23,0.214500743,946121.3283,T
T41,T24,0.16142779,1101549.439,T
T41,T25,0.092344984,1203823.306,T
T41,T26,0.166412542,1156436.378,T
T41,T27,0.118813042,1235760.223,T
T41,T28,0.205704121,631168.6448,T
T41,T29,0.167389944,785107.3809,T
T41,T30,0.227617484,1042620.622,T
T41,T31,0.455997341,463830.8947,T
T41,T32,0.387364141,382166.2381,T
T41,T33,0.377238252,361400.344,T
T41,T34,0.425658769,299130.0258,T
T41,T35,0.468762218,249494.3216,T
T41,T36,0.464051138,214301.1674,T
T41,T37,0.459789663,172750.3097,T
T41,T38,0.543435765,121529.0585,T
T41,T39,0.558390023,108231.0959,T
T41,T40,0.531902416,54471.59797,T
T42,T01,0.160000782,460120.2414,T
T42,T02,0.333939323,444582.3059,T
T42,T04,0.126886387,382669.1157,T
T42,T05,0.138419736,356083.3275,T
T42,T06,0.207991242,236948.0324,T
T42,T07,0.222300414,230442.5234,T
T42,T08,0.354953476,145587.2164,T
T42,T09,0.25711549,132045.5163,T
T42,T10,0.256196732,306857.1817,T
T42,T11,0.262002502,271585.2896,T
T42,T12,0.168973336,497841.395,T
T42,T13,0.178864649,582233.8109,T
T42,T15,0.08587458,725496.0044,T
T42,T18,0.089432325,1340279.697,T
T42,T19,0.132125264,1524828.413,T
T42,T20,0.307236688,1672573.526,T
T42,T21,0.140413637,1715813.503,T
T42,T22,0.181894597,776989.3454,T
T42,T23,0.229630933,918459.2111,T
T42,T24,0.170849949,1073938.89,T
T42,T25,0.099460474,1172250.78,T
T42,T26,0.141488779,1118058.942,T
T42,T27,0.117776996,1192497.678,T
T42,T28,0.236844163,586995.3034,T
T42,T29,0.194698569,740558.0396,T
T42,T30,0.188365001,1009029.81,T
T42,T31,0.460884354,490723.7971,T
T42,T32,0.493138635,417538.2989,T
T42,T33,0.488036594,388221.0012,T
T42,T34,0.524415513,322956.187,T
